,artist,id,title
0,'Mac Miller',7qfur8OfEOABgenV3Wf0JK,'Break The Law'
1,'The Hics',268V0Smf1rkcfKH40eVlHt,'Lines'
2,'Dirty Art Club',5X2wla7DcWJMoxfd6OU7WI,'Dust and Ivory'
3,'Metronomy',7HBtUA2lj3ljwCRVYsucmO,'Nights Out'
4,'Generationals',5cyoN7OqTcFyApYheHXQ9Y,'Greenleaf'
5,'The Brian Jonestown Massacre',5KaCn0CGbo2Mynq5VSgSya,'Anemone'
6,'Charizma',6P6gCmvRjNwXAGTB6LhTdb,'Home Turf'
7,'HOMESHAKE',5adgXHhaKzZlmXojEuKNjl,'Heat'
8,'Generationals',2iy8dyGv0pCf6C6e23OzyV,'Say for Certain'
9,'Mac Miller',2dgrYdgguVZKeCsrVb9XEs,'What's the Use?'
10,'KOOL A.D.',2gvcy8LxasMzqWqPJVgsmQ,'Word O.K.'
11,'NxWorries',23XmBijMpljQqee05QvmTt,'Fkku'
12,'Tennyson',4l6Ni4ym9y3am94yvuKHcY,'Lay-by'
13,'Organized Konfusion',59Lf7JZarHeKndgFleAHJC,'Let's Organize'
14,'Madvillain',1P3eYnB5KiF4S2qZ7iQnOP,'Raid'
15,'Neon Indian',5g3TDpgy1J1woAUVuj21EE,'Polish Girl'
16,'The Buttertones',7KwJrAQMoJyUEBes3evMLv,'Orpheus Under the Influence'
17,'Slow Hollows',4hSfY4G2SIUlwGViX1ve6J,'The Art School Kids'
18,'Dante Elephante',32Kr5OQI0yavpQLNKEskUL,'Never Trust a Junkie'
19,'Jurassic Shark',61sHYSKJSyndNCLtmtRcv3,'Maybe'
20,'The Garden',0GARqhVTsP5GA6q1G3xWph,'California Here We Go'
21,'Harlem',7JpyVb9xf29fLq2yYfMvl3,'Someday Soon'
22,'FIDLAR',5vw6mb5UUdA3vVQfcFN8yA,'No Waves'
23,'Khruangbin',2kGMBOPXMtb9gxzVYdplg9,'Two Fish and an Elephant'
24,'NxWorries',322vI2bPcLJeDxltXD9hzD,'Lyk Dis'
25,'Danny Brown',1uDrIgjVtFsrrWWctCxoBL,'Grown Up'
26,'Mild High Club',7qPdc4CH1GGZaHBImyoZ69,'Tesselation'
27,'King Gizzard & The Lizard Wizard',7tUUZ74ZhKN8B1IiMREYlO,'Sense'
28,'Jonwayne',1ObnPgxqaii7HaaehgBaYN,'40 Winks - Instrumental'
29,'Cassius Clay',5HGUspDizYWe0Wiu1zrpO9,'ENTITY'
30,'Evil Needle',7e5SGWf9p2SpzKBjgWlzdq,'Comfort Zone'
31,'Vacationer',1cJnzAIutJrrO8NUGd6347,'Paradise Waiting'
32,'Kenny Segal',4xZNRIiWsgKZ51dHDvOfh1,'Worlds To Run (VIP Dub)'
